,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
63,2021-06-27,38.496,40.999,37.65,40.941,38.496,40.999,37.65,40.941,38492.52,38492.52
64,2021-06-26,38.331,39.445,35.542,38.496,38.331,39.445,35.542,38.496,27942.369,27942.369
65,2021-06-25,41.102,44.79,37.067,38.528,41.102,44.79,37.067,38.528,64369.108,64369.108
66,2021-06-24,36.906,44.781,35.251,41.202,36.906,44.781,35.251,41.202,171845.634,171845.634
67,2021-06-23,33.984,38.756,31.825,36.906,33.984,38.756,31.825,36.906,49936.31,49936.31
68,2021-06-22,37.215,40.856,29.14,33.972,37.215,40.856,29.14,33.972,100445.986,100445.986
69,2021-06-21,51.645,51.918,35.732,37.358,51.645,51.918,35.732,37.358,58731.462,58731.462
70,2021-06-20,52.25,52.77,46.567,51.688,52.25,52.77,46.567,51.688,63056.572,63056.572
71,2021-06-19,54.008,54.563,51.762,52.271,54.008,54.563,51.762,52.271,14613.692,14613.692
72,2021-06-18,57.641,57.641,52.434,54.008,57.641,57.641,52.434,54.008,29036.232,29036.232
73,2021-06-17,54.79,61.87,54.624,57.757,54.79,61.87,54.624,57.757,97883.22,97883.22
74,2021-06-16,58.511,58.511,54.401,54.8,58.511,58.511,54.401,54.8,39146.781,39146.781
75,2021-06-15,59.794,60.426,57.999,58.416,59.794,60.426,57.999,58.416,33037.609,33037.609
76,2021-06-14,59.014,61.2,56.704,59.935,59.014,61.2,56.704,59.935,87334.175,87334.175
77,2021-06-13,56.0,60.708,53.187,59.03,56.0,60.708,53.187,59.03,77768.969,77768.969
78,2021-06-12,57.419,58.864,51.201,56.0,57.419,58.864,51.201,56.0,130900.921,130900.921
79,2021-06-11,69.129,69.537,57.117,57.426,69.129,69.537,57.117,57.426,128045.696,128045.696
80,2021-06-10,71.391,81.4,67.155,68.824,71.391,81.4,67.155,68.824,463267.047,463267.047
81,2021-06-09,52.886,84.555,48.809,71.399,52.886,84.555,48.809,71.399,1022492.037,1022492.037
82,2021-06-08,51.077,57.329,47.23,52.888,51.077,57.329,47.23,52.888,135373.805,135373.805
83,2021-06-07,56.698,58.371,50.205,51.094,56.698,58.371,50.205,51.094,56523.363,56523.363
84,2021-06-06,55.23,64.0,55.052,56.622,55.23,64.0,55.052,56.622,68699.172,68699.172
85,2021-06-05,57.379,58.949,53.877,55.038,57.379,58.949,53.877,55.038,15988.255,15988.255
86,2021-06-04,61.962,62.0,54.8,57.388,61.962,62.0,54.8,57.388,23039.817,23039.817
87,2021-06-03,58.959,62.599,58.254,61.788,58.959,62.599,58.254,61.788,22193.289,22193.289
88,2021-06-02,57.887,60.0,56.551,59.298,57.887,60.0,56.551,59.298,12842.954,12842.954
89,2021-06-01,59.71,60.867,56.269,57.8,59.71,60.867,56.269,57.8,11242.459,11242.459
90,2021-05-31,56.999,60.237,54.0,59.712,56.999,60.237,54.0,59.712,50703.769,50703.769
91,2021-05-30,55.793,58.207,51.325,56.999,55.793,58.207,51.325,56.999,18910.256,18910.256
92,2021-05-29,58.705,63.066,52.208,56.401,58.705,63.066,52.208,56.401,21111.379,21111.379
93,2021-05-28,66.469,68.606,55.733,58.687,66.469,68.606,55.733,58.687,36135.579,36135.579
94,2021-05-27,66.351,69.957,61.199,66.469,66.351,69.957,61.199,66.469,31997.789,31997.789
95,2021-05-26,63.154,67.855,60.649,66.626,63.154,67.855,60.649,66.626,31516.599,31516.599
96,2021-05-25,61.737,67.692,56.474,62.713,61.737,67.692,56.474,62.713,45675.967,45675.967
97,2021-05-24,49.795,64.0,45.65,62.074,49.795,64.0,45.65,62.074,55754.448,55754.448
98,2021-05-23,55.662,63.683,40.97,49.81,55.662,63.683,40.97,49.81,195626.889,195626.889
99,2021-05-22,60.589,61.8,51.001,55.213,60.589,61.8,51.001,55.213,24449.017,24449.017
100,2021-05-21,69.272,73.252,51.36,60.448,69.272,73.252,51.36,60.448,39138.576,39138.576
101,2021-05-20,58.006,73.277,50.415,69.42,58.006,73.277,50.415,69.42,54456.845,54456.845
102,2021-05-19,87.124,88.361,37.3,58.883,87.124,88.361,37.3,58.883,106867.372,106867.372
103,2021-05-18,86.762,91.57,84.5,87.125,86.762,91.57,84.5,87.125,45951.617,45951.617
104,2021-05-17,94.998,100.0,80.111,86.36,94.998,100.0,80.111,86.36,63181.616,63181.616
105,2021-05-16,95.68,101.469,87.546,94.43,95.68,101.469,87.546,94.43,48771.006,48771.006
106,2021-05-15,102.647,110.068,93.1,95.189,102.647,110.068,93.1,95.189,62182.237,62182.237
107,2021-05-14,93.735,106.128,91.472,102.135,93.735,106.128,91.472,102.135,82098.466,82098.466
108,2021-05-13,91.829,99.856,85.078,93.739,91.829,99.856,85.078,93.739,91306.099,91306.099
109,2021-05-12,119.456,121.0,90.0,91.232,119.456,121.0,90.0,91.232,68743.014,68743.014
110,2021-05-11,111.0,120.2,104.002,119.456,111.0,120.2,104.002,119.456,96005.819,96005.819
111,2021-05-10,125.622,131.0,106.102,111.0,125.622,131.0,106.102,111.0,67675.278,67675.278
112,2021-05-09,131.5,131.814,116.499,125.621,131.5,131.814,116.499,125.621,68338.873,68338.873
113,2021-05-08,129.998,140.0,124.0,131.466,129.998,140.0,124.0,131.466,126276.865,126276.865
114,2021-05-07,141.097,143.5,118.583,129.604,141.097,143.5,118.583,129.604,223646.553,223646.553
115,2021-05-06,133.15,169.0,133.15,141.098,133.15,169.0,133.15,141.098,713259.819,713259.819
116,2021-05-05,107.893,140.0,104.325,133.15,107.893,140.0,104.325,133.15,287788.632,287788.632
117,2021-05-04,95.727,114.0,95.698,107.988,95.727,114.0,95.698,107.988,296728.262,296728.262
118,2021-05-03,93.239,97.976,91.137,95.725,93.239,97.976,91.137,95.725,50026.413,50026.413
119,2021-05-02,95.371,95.853,88.852,92.847,95.371,95.853,88.852,92.847,34745.944,34745.944
120,2021-05-01,93.398,96.96,91.608,95.371,93.398,96.96,91.608,95.371,49439.04,49439.04
121,2021-04-30,87.874,94.154,86.004,93.666,87.874,94.154,86.004,93.666,59207.219,59207.219
122,2021-04-29,91.352,92.0,84.492,87.815,91.352,92.0,84.492,87.815,55472.231,55472.231
123,2021-04-28,89.482,98.0,85.772,91.37,89.482,98.0,85.772,91.37,108210.035,108210.035
124,2021-04-27,86.538,94.5,84.666,89.479,86.538,94.5,84.666,89.479,140587.127,140587.127
125,2021-04-26,74.364,87.093,72.802,86.54,74.364,87.093,72.802,86.54,220994.083,220994.083
126,2021-04-25,77.089,83.4,70.452,74.364,77.089,83.4,70.452,74.364,171679.246,171679.246
127,2021-04-24,83.9,87.4,76.2,77.091,83.9,87.4,76.2,77.091,372797.605,372797.605
128,2021-04-23,73.015,159.901,72.624,83.7,73.015,159.901,72.624,83.7,1677475.746,1677475.746
129,2021-04-22,85.052,89.385,70.85,73.167,85.052,89.385,70.85,73.167,54419.504,54419.504
130,2021-04-21,94.865,97.599,84.483,85.052,94.865,97.599,84.483,85.052,28137.053,28137.053
131,2021-04-20,87.048,98.446,75.0,94.794,87.048,98.446,75.0,94.794,51458.351,51458.351
132,2021-04-19,93.1,99.0,82.55,86.875,93.1,99.0,82.55,86.875,44569.277,44569.277
133,2021-04-18,106.767,118.0,80.05,93.016,106.767,118.0,80.05,93.016,62535.232,62535.232
134,2021-04-17,114.498,118.904,105.011,106.764,114.498,118.904,105.011,106.764,24674.532,24674.532
135,2021-04-16,118.5,138.0,100.553,114.784,118.5,138.0,100.553,114.784,90829.397,90829.397
