,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
89,2021-06-01,70.018,71.841,65.609,67.765,70.018,71.841,65.609,67.765,2795735.791,2795735.791
90,2021-05-31,66.147,70.689,61.858,70.019,66.147,70.689,61.858,70.019,3389571.597,3389571.597
91,2021-05-30,64.366,68.295,59.844,66.124,64.366,68.295,59.844,66.124,3005671.323,3005671.323
92,2021-05-29,68.209,70.9,60.928,64.293,68.209,70.9,60.928,64.293,4269878.203,4269878.203
93,2021-05-28,74.649,79.0,63.44,68.199,74.649,79.0,63.44,68.199,7538571.888,7538571.888
94,2021-05-27,79.869,79.886,71.068,74.596,79.869,79.886,71.068,74.596,4321373.909,4321373.909
95,2021-05-26,78.287,83.491,73.715,79.886,78.287,83.491,73.715,79.886,6405391.526,6405391.526
96,2021-05-25,73.711,83.0,70.013,78.364,73.711,83.0,70.013,78.364,14612363.116,14612363.116
97,2021-05-24,51.576,75.0,48.783,73.711,51.576,75.0,48.783,73.711,11857043.282,11857043.282
98,2021-05-23,58.56,65.0,39.792,51.553,58.56,65.0,39.792,51.553,10381524.648,10381524.648
99,2021-05-22,64.168,64.824,54.0,58.498,64.168,64.824,54.0,58.498,6242128.827,6242128.827
100,2021-05-21,73.73,78.23,54.389,64.167,73.73,78.23,54.389,64.167,9461101.864,9461101.864
101,2021-05-20,59.406,80.0,54.436,73.744,59.406,80.0,54.436,73.744,10361553.972,10361553.972
102,2021-05-19,88.575,90.246,40.0,59.436,88.575,90.246,40.0,59.436,16187315.123,16187315.123
103,2021-05-18,89.702,95.668,85.936,88.577,89.702,95.668,85.936,88.577,4919002.738,4919002.738
104,2021-05-17,93.874,94.448,80.66,89.677,93.874,94.448,80.66,89.677,5962799.722,5962799.722
105,2021-05-16,95.087,103.275,86.918,93.859,95.087,103.275,86.918,93.859,6055479.999,6055479.999
106,2021-05-15,103.333,114.49,94.666,95.088,103.333,114.49,94.666,95.088,9031708.919,9031708.919
107,2021-05-14,88.383,109.991,86.447,103.313,88.383,109.991,86.447,103.313,10660255.313,10660255.313
108,2021-05-13,84.988,94.881,76.142,88.383,84.988,94.881,76.142,88.383,11544054.609,11544054.609
109,2021-05-12,111.193,114.5,81.0,84.996,111.193,114.5,81.0,84.996,8464236.861,8464236.861
110,2021-05-11,105.094,117.624,102.142,111.173,105.094,117.624,102.142,111.173,8188203.768,8188203.768
111,2021-05-10,117.906,129.498,90.0,105.094,117.906,129.498,90.0,105.094,15157838.41,15157838.41
112,2021-05-09,127.359,129.89,112.0,117.904,127.359,129.89,112.0,117.904,10108492.295,10108492.295
113,2021-05-08,119.763,135.091,110.0,127.317,119.763,135.091,110.0,127.317,17054054.754,17054054.754
114,2021-05-07,133.864,145.001,108.391,119.763,133.864,145.001,108.391,119.763,31679192.763,31679192.763
115,2021-05-06,93.962,179.83,86.627,133.864,93.962,179.83,86.627,133.864,48009367.357,48009367.357
116,2021-05-05,69.351,100.0,67.8,93.962,69.351,100.0,67.8,93.962,31912894.455,31912894.455
117,2021-05-04,52.065,72.5,49.16,69.249,52.065,72.5,49.16,69.249,23655357.477,23655357.477
118,2021-05-03,44.905,52.5,44.233,52.037,44.905,52.5,44.233,52.037,8630206.717,8630206.717
119,2021-05-02,44.738,46.8,42.004,44.92,44.738,46.8,42.004,44.92,8211108.807,8211108.807
120,2021-05-01,36.32,46.691,36.231,44.706,36.32,46.691,36.231,44.706,7694489.114,7694489.114
121,2021-04-30,34.513,36.77,33.742,36.317,34.513,36.77,33.742,36.317,2735086.425,2735086.425
122,2021-04-29,35.07,35.368,33.6,34.529,35.07,35.368,33.6,34.529,2198004.666,2198004.666
123,2021-04-28,33.808,36.439,32.247,35.061,33.808,36.439,32.247,35.061,4689634.004,4689634.004
124,2021-04-27,32.842,34.5,31.918,33.803,32.842,34.5,31.918,33.803,3528569.67,3528569.67
125,2021-04-26,29.297,32.939,28.912,32.825,29.297,32.939,28.912,32.825,3613568.647,3613568.647
126,2021-04-25,29.6653,31.914,27.75,29.315,29.6653,31.914,27.75,29.315,2699200.337,2699200.337
127,2021-04-24,32.6304,32.8615,29.2563,29.6577,32.6304,32.8615,29.2563,29.6577,3203543.95,3203543.95
128,2021-04-23,33.5037,34.5143,25.0933,32.6158,33.5037,34.5143,25.0933,32.6158,10022062.13,10022062.13
129,2021-04-22,31.9733,39.5,31.45,33.5104,31.9733,39.5,31.45,33.5104,10895808.13,10895808.13
130,2021-04-21,33.7616,35.49,31.5132,31.9236,33.7616,35.49,31.5132,31.9236,4050059.48,4050059.48
131,2021-04-20,33.4407,35.2823,29.9745,33.739,33.4407,35.2823,29.9745,33.739,5386957.94,5386957.94
132,2021-04-19,37.1237,38.3539,32.0394,33.4166,37.1237,38.3539,32.0394,33.4166,7017366.59,7017366.59
133,2021-04-18,37.6629,39.0999,30.9529,37.0728,37.6629,39.0999,30.9529,37.0728,13088056.48,13088056.48
134,2021-04-17,38.2737,49.88,37.2497,37.7258,38.2737,49.88,37.2497,37.7258,19137883.84,19137883.84
135,2021-04-16,28.6128,46.4767,28.6128,38.2734,28.6128,46.4767,28.6128,38.2734,27933536.36,27933536.36
136,2021-04-15,21.9202,29.8441,21.4451,28.6129,21.9202,29.8441,21.4451,28.6129,9359741.37,9359741.37
137,2021-04-14,21.2111,22.7499,20.13,21.9193,21.2111,22.7499,20.13,21.9193,4344457.05,4344457.05
138,2021-04-13,19.5159,22.0475,19.4101,21.2069,19.5159,22.0475,19.4101,21.2069,3710566.38,3710566.38
139,2021-04-12,20.3606,20.562,18.9746,19.5225,20.3606,20.562,18.9746,19.5225,2426158.98,2426158.98
140,2021-04-11,20.4599,21.5183,19.7983,20.3709,20.4599,21.5183,19.7983,20.3709,3531457.37,3531457.37
141,2021-04-10,18.7715,21.2297,18.31,20.4439,18.7715,21.2297,18.31,20.4439,4407519.17,4407519.17
142,2021-04-09,19.6254,20.111,18.5089,18.7707,19.6254,20.111,18.5089,18.7707,2852521.27,2852521.27
143,2021-04-08,19.1644,19.9279,18.0106,19.6292,19.1644,19.9279,18.0106,19.6292,5761672.63,5761672.63
144,2021-04-07,17.7496,20.969,16.7698,19.1937,17.7496,20.969,16.7698,19.1937,15518421.15,15518421.15
145,2021-04-06,16.0744,18.6384,15.9755,17.7329,16.0744,18.6384,15.9755,17.7329,7611882.96,7611882.96
146,2021-04-05,14.5489,16.1116,14.2914,16.0744,14.5489,16.1116,14.2914,16.0744,4079380.42,4079380.42
147,2021-04-04,13.5756,14.5745,13.3568,14.5489,13.5756,14.5745,13.3568,14.5489,2383366.94,2383366.94
148,2021-04-03,15.2511,15.35,13.4876,13.571,15.2511,15.35,13.4876,13.571,3003119.67,3003119.67
149,2021-04-02,14.3297,15.6455,14.0863,15.2454,14.3297,15.6455,14.0863,15.2454,3520562.57,3520562.57
150,2021-04-01,14.1154,14.5102,13.5501,14.315,14.1154,14.5102,13.5501,14.315,3145102.93,3145102.93
151,2021-03-31,13.0197,14.3751,12.6,14.1287,13.0197,14.3751,12.6,14.1287,3906325.54,3906325.54
152,2021-03-30,12.6395,13.0655,12.3488,13.016,12.6395,13.0655,12.3488,13.016,1974096.63,1974096.63
153,2021-03-29,11.8668,12.7586,11.73,12.6381,11.8668,12.7586,11.73,12.6381,1899531.77,1899531.77
154,2021-03-28,11.7912,12.0556,11.7017,11.8644,11.7912,12.0556,11.7017,11.8644,1222113.56,1222113.56
155,2021-03-27,11.7605,11.9777,11.4339,11.7927,11.7605,11.9777,11.4339,11.7927,1142859.84,1142859.84
156,2021-03-26,11.0767,11.7656,11.06,11.7593,11.0767,11.7656,11.06,11.7593,1618476.37,1618476.37
157,2021-03-25,11.2938,11.468,10.7546,11.0876,11.2938,11.468,10.7546,11.0876,2103364.45,2103364.45
158,2021-03-24,12.2346,12.6289,11.0835,11.292,12.2346,12.6289,11.0835,11.292,2454033.94,2454033.94
159,2021-03-23,11.6595,12.6819,11.6058,12.2413,11.6595,12.6819,11.6058,12.2413,3306521.31,3306521.31
160,2021-03-22,11.9816,12.4079,11.5628,11.6556,11.9816,12.4079,11.5628,11.6556,2489360.05,2489360.05
161,2021-03-21,12.3113,12.4592,11.8985,11.9811,12.3113,12.4592,11.8985,11.9811,1671308.94,1671308.94
162,2021-03-20,12.2537,12.8913,12.2138,12.3108,12.2537,12.8913,12.2138,12.3108,1725148.58,1725148.58
163,2021-03-19,12.1724,12.43,11.899,12.2569,12.1724,12.43,11.899,12.2569,1198410.08,1198410.08
164,2021-03-18,12.5691,12.6706,12.086,12.169,12.5691,12.6706,12.086,12.169,1575449.62,1575449.62
165,2021-03-17,12.4215,12.5839,11.762,12.5671,12.4215,12.5839,11.762,12.5671,2111798.09,2111798.09
166,2021-03-16,12.1501,12.5628,11.516,12.4297,12.1501,12.5628,11.516,12.4297,2429445.28,2429445.28
167,2021-03-15,12.7164,13.1014,11.7564,12.156,12.7164,13.1014,11.7564,12.156,3902290.9,3902290.9
168,2021-03-14,13.779,14.11,12.7,12.7214,13.779,14.11,12.7,12.7214,2871229.97,2871229.97
169,2021-03-13,11.9401,14.3159,11.5484,13.7733,11.9401,14.3159,11.5484,13.7733,4474825.35,4474825.35
170,2021-03-12,12.2593,12.54,11.4245,11.9365,12.2593,12.54,11.4245,11.9365,2503605.09,2503605.09
171,2021-03-11,11.9529,12.5976,11.6856,12.2593,11.9529,12.5976,11.6856,12.2593,2934472.39,2934472.39
172,2021-03-10,12.4002,12.75,11.6348,11.958,12.4002,12.75,11.6348,11.958,2533996.89,2533996.89
173,2021-03-09,11.7043,12.6641,11.52,12.3956,11.7043,12.6641,11.52,12.3956,3395857.09,3395857.09
174,2021-03-08,11.5385,11.9776,11.0461,11.7082,11.5385,11.9776,11.0461,11.7082,2565433.93,2565433.93
175,2021-03-07,11.1158,11.7882,11.1158,11.5466,11.1158,11.7882,11.1158,11.5466,2097030.99,2097030.99
176,2021-03-06,10.9467,11.2499,10.6349,11.1134,10.9467,11.2499,10.6349,11.1134,1417222.75,1417222.75
177,2021-03-05,11.0039,11.1079,10.3245,10.9437,11.0039,11.1079,10.3245,10.9437,1739698.73,1739698.73
178,2021-03-04,11.2432,11.7153,10.6842,11.0004,11.2432,11.7153,10.6842,11.0004,2563869.99,2563869.99
179,2021-03-03,10.9056,11.74,10.8137,11.2516,10.9056,11.74,10.8137,11.2516,2875532.82,2875532.82
180,2021-03-02,11.0892,11.5184,10.5625,10.9081,11.0892,11.5184,10.5625,10.9081,2493082.78,2493082.78
181,2021-03-01,10.3586,11.1836,10.178,11.0783,10.3586,11.1836,10.178,11.0783,2052852.59,2052852.59
182,2021-02-28,11.0906,11.129,9.7,10.3656,11.0906,11.129,9.7,10.3656,3347999.62,3347999.62
183,2021-02-27,10.7229,11.5119,10.7125,11.0991,10.7229,11.5119,10.7125,11.0991,2614406.89,2614406.89
184,2021-02-26,11.0388,11.2951,10.0157,10.7153,11.0388,11.2951,10.0157,10.7153,4356650.57,4356650.57
185,2021-02-25,11.8742,12.1814,10.9237,11.039,11.8742,12.1814,10.9237,11.039,3867822.99,3867822.99
186,2021-02-24,11.3618,12.52,10.8517,11.8729,11.3618,12.52,10.8517,11.8729,5632012.98,5632012.98
187,2021-02-23,13.9493,14.0,9.1456,11.3651,13.9493,14.0,9.1456,11.3651,10734272.05,10734272.05
188,2021-02-22,15.659,15.7141,11.1771,13.9359,15.659,15.7141,11.1771,13.9359,7805346.96,7805346.96
189,2021-02-21,15.0721,16.3763,14.8029,15.669,15.0721,16.3763,14.8029,15.669,3371733.86,3371733.86
190,2021-02-20,15.3941,17.4822,14.3087,15.0833,15.3941,17.4822,14.3087,15.0833,8414449.24,8414449.24
191,2021-02-19,14.947,15.8891,14.243,15.3876,14.947,15.8891,14.243,15.3876,5302698.77,5302698.77
192,2021-02-18,15.3066,15.78,14.5861,14.9458,15.3066,15.78,14.5861,14.9458,3575554.59,3575554.59
193,2021-02-17,14.3896,15.7894,13.6576,15.3015,14.3896,15.7894,13.6576,15.3015,5299083.07,5299083.07
194,2021-02-16,14.6971,15.5393,13.7075,14.3907,14.6971,15.5393,13.7075,14.3907,4215740.66,4215740.66
195,2021-02-15,16.0749,16.6055,13.06,14.6826,16.0749,16.6055,13.06,14.6826,8931975.24,8931975.24
196,2021-02-14,16.624,17.688,14.88,16.072,16.624,17.688,14.88,16.072,12064423.45,12064423.45
197,2021-02-13,11.9352,18.18,11.6944,16.6377,11.9352,18.18,11.6944,16.6377,15975192.82,15975192.82
198,2021-02-12,11.7171,12.3498,11.1111,11.9265,11.7171,12.3498,11.1111,11.9265,4452609.29,4452609.29
199,2021-02-11,10.3754,11.785,10.3036,11.7205,10.3754,11.785,10.3036,11.7205,5726816.42,5726816.42
200,2021-02-10,9.5765,11.4789,9.5763,10.3754,9.5765,11.4789,9.5763,10.3754,10605715.54,10605715.54
201,2021-02-09,8.6921,10.0,8.6325,9.578,8.6921,10.0,8.6325,9.578,5948409.12,5948409.12
202,2021-02-08,8.2831,8.7709,8.1145,8.6941,8.2831,8.7709,8.1145,8.6941,4164573.1,4164573.1
203,2021-02-07,8.77,8.8768,7.8393,8.2787,8.77,8.8768,7.8393,8.2787,4664253.75,4664253.75
204,2021-02-06,8.5166,9.11,8.2,8.7691,8.5166,9.11,8.2,8.7691,5528007.27,5528007.27
205,2021-02-05,7.6566,8.9013,7.6157,8.5174,7.6566,8.9013,7.6157,8.5174,5894303.35,5894303.35
206,2021-02-04,7.9404,8.1,7.5588,7.6584,7.9404,8.1,7.5588,7.6584,3169421.17,3169421.17
207,2021-02-03,7.7861,8.0185,7.6429,7.9413,7.7861,8.0185,7.6429,7.9413,3246387.05,3246387.05
208,2021-02-02,7.5236,7.9275,7.4538,7.7835,7.5236,7.9275,7.4538,7.7835,3413395.98,3413395.98
209,2021-02-01,7.4121,7.662,7.246,7.5241,7.4121,7.662,7.246,7.5241,2979656.65,2979656.65
210,2021-01-31,7.5858,7.7102,7.1811,7.4155,7.5858,7.7102,7.1811,7.4155,2714579.49,2714579.49
211,2021-01-30,7.6088,7.8276,7.31,7.5859,7.6088,7.8276,7.31,7.5859,3087819.83,3087819.83
212,2021-01-29,7.6555,8.054,7.3894,7.6132,7.6555,8.054,7.3894,7.6132,6382523.49,6382523.49
213,2021-01-28,6.8758,8.5,6.7615,7.6533,6.8758,8.5,6.7615,7.6533,8203975.3,8203975.3
214,2021-01-27,7.4349,7.442,6.6359,6.8713,7.4349,7.442,6.6359,6.8713,2480702.74,2480702.74
215,2021-01-26,7.5004,7.6068,7.0817,7.4342,7.5004,7.6068,7.0817,7.4342,2265153.31,2265153.31
216,2021-01-25,7.6289,7.9821,7.3737,7.4976,7.6289,7.9821,7.3737,7.4976,3403712.3,3403712.3
217,2021-01-24,7.4469,7.8156,7.3784,7.6294,7.4469,7.8156,7.3784,7.6294,2941465.29,2941465.29
218,2021-01-23,7.4303,7.5951,7.2203,7.4488,7.4303,7.5951,7.2203,7.4488,3248879.94,3248879.94
219,2021-01-22,7.1345,7.5191,6.63,7.4292,7.1345,7.5191,6.63,7.4292,4340516.07,4340516.07
220,2021-01-21,7.9046,8.1941,7.001,7.1346,7.9046,8.1941,7.001,7.1346,5198525.5,5198525.5
221,2021-01-20,7.8085,8.0479,7.3905,7.9,7.8085,8.0479,7.3905,7.9,4609895.78,4609895.78
222,2021-01-19,7.7057,8.5186,7.661,7.8177,7.7057,8.5186,7.661,7.8177,7126240.47,7126240.47
223,2021-01-18,7.6877,7.8943,7.4214,7.7078,7.6877,7.8943,7.4214,7.7078,3558732.83,3558732.83
224,2021-01-17,7.7768,7.9584,7.337,7.684,7.7768,7.9584,7.337,7.684,4128080.55,4128080.55
225,2021-01-16,7.5626,8.1822,7.3911,7.7799,7.5626,8.1822,7.3911,7.7799,5619540.59,5619540.59
226,2021-01-15,7.795,8.0357,7.1228,7.567,7.795,8.0357,7.1228,7.567,6591928.2,6591928.2
227,2021-01-14,7.595,8.135,7.3538,7.788,7.595,8.135,7.3538,7.788,5226229.07,5226229.07
228,2021-01-13,7.0521,7.668,6.8553,7.595,7.0521,7.668,6.8553,7.595,4473130.42,4473130.42
229,2021-01-12,7.2198,7.6762,6.8236,7.0544,7.2198,7.6762,6.8236,7.0544,6920562.63,6920562.63
230,2021-01-11,8.8378,8.8812,6.2678,7.2221,8.8378,8.8812,6.2678,7.2221,15289416.32,15289416.32
231,2021-01-10,7.7684,9.98,7.7684,8.8346,7.7684,9.98,7.7684,8.8346,16511153.42,16511153.42
232,2021-01-09,6.9547,8.0763,6.7144,7.763,6.9547,8.0763,6.7144,7.763,8147736.8,8147736.8
233,2021-01-08,7.2125,7.3192,6.6324,6.9565,7.2125,7.3192,6.6324,6.9565,6000945.27,6000945.27
234,2021-01-07,7.5777,7.754,6.9959,7.2142,7.5777,7.754,6.9959,7.2142,5456496.52,5456496.52
235,2021-01-06,7.2715,7.7564,6.974,7.5723,7.2715,7.7564,6.974,7.5723,4940420.35,4940420.35
236,2021-01-05,7.0333,7.4169,6.6902,7.271,7.0333,7.4169,6.6902,7.271,5565471.85,5565471.85
237,2021-01-04,6.569,7.6398,6.25,7.0374,6.569,7.6398,6.25,7.0374,10260011.67,10260011.67
238,2021-01-03,5.7765,6.6676,5.7594,6.5678,5.7765,6.6676,5.7594,6.5678,5685003.59,5685003.59
239,2021-01-02,5.6962,5.9604,5.5725,5.7763,5.6962,5.9604,5.5725,5.7763,2049822.63,2049822.63
240,2021-01-01,5.6576,5.8614,5.594,5.6938,5.6576,5.8614,5.594,5.6938,1195797.11,1195797.11
241,2020-12-31,5.678,5.8071,5.5543,5.6562,5.678,5.8071,5.5543,5.6562,1674936.79,1674936.79
242,2020-12-30,5.7225,5.8123,5.5965,5.6799,5.7225,5.8123,5.5965,5.6799,2917809.66,2917809.66
243,2020-12-29,5.9188,6.0237,5.4529,5.719,5.9188,6.0237,5.4529,5.719,2809673.89,2809673.89
244,2020-12-28,5.8116,6.1781,5.7557,5.9188,5.8116,6.1781,5.7557,5.9188,3023346.77,3023346.77
245,2020-12-27,5.8389,6.1197,5.4914,5.8101,5.8389,6.1197,5.4914,5.8101,4922555.86,4922555.86
246,2020-12-26,5.7589,5.8917,5.555,5.8379,5.7589,5.8917,5.555,5.8379,2710271.12,2710271.12
